Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C2, C3, C4, C5, C6, C7, C8, C9",0603,14,0.1uF,CL10B104KB8NFNC
"J1, J2",IDC-Header_2x08_P2.54mm_Horizontal,2,Conn_01x16,3020-16-0200-00
"J3, J4","New_PhoenixContact_MC_1,5_12-GF-5.08_1x12_P5.08mm_Horizontal_ThreadedFlange_MountHole",2,1847712,MC 1.5/12-GF-5.08
"J5, J6","New_PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal",2,Conn_01x02,MC 1.5/2-G-5.08
"JP1, JP2, JP3, JP4",0805,4,Jumper_2_Bridged,0805 0R JP
"JP5, JP6",0603,2,Jumper_2_Bridged,0603 0R JP
"K1, K10, K11, K12, K13, K14, K15, K16, K17, K18, K19, K2, K20, K21, K22, K23, K24, K25, K26, K27, K28, K29, K3, K30, K31, K32, K33, K34, K35, K36, K37, K38, K39, K4, K40, K41, K42, K43, K44, K45, K46, K47, K48, K49, K5, K50, K51, K52, K53, K54, K55, K56, K57, K58, K59, K6, K60, K61, K62, K63, K64, K65, K66, K67, K68, K69, K7, K70, K71, K72, K73, K74, K75, K76, K77, K78, K79, K8, K80, K81, K82, K83, K84, K85, K86, K87, K88, K89, K9, K90, K91, K92, K93, K94, K95, K96",Relay_2P2T_10x6mm_TE_IMxxG,96,AGQ200S12Z,AGQ200S12Z
"R1, R2, R3, R4, R5, R6, R7",0603,7,10k,0603 10k 1%
"U1, U2",VSSOP-8_2.3x2mm_P0.5mm,2,SN74LVC3G34DCUR,SN74LVC3G34DCUR
"U10, U11, U12, U13, U14, U3, U4, U5, U6, U7, U8, U9",TSSOP-16_4.4x5mm_P0.65mm,12,TPIC6C596,TPIC6C596PWR
