Ref,Val,Package,PosX,PosY,Rot,Side
"J2","1759091","PhoenixContact_MSTBA_2,5_10-G-5,08_1x10_P5.08mm_Horizontal",112.000000,-138.222500,180.000000,bottom
"J4","MC-254-12-00-RA-DIP","IDC-Header_2x06_P2.54mm_Horizontal",170.302500,-121.350000,0.000000,bottom
"J5","1759091","PhoenixContact_MSTBA_2,5_10-G-5,08_1x10_P5.08mm_Horizontal",167.720000,-138.222500,180.000000,bottom
"D1","LTST-C170KRKT","LED_0805_2012Metric",63.000000,-134.000000,90.000000,top
"D2","LTST-C170KRKT","LED_0805_2012Metric",174.000000,-133.000000,90.000000,top
"J1","1759091","PhoenixContact_MSTBA_2,5_10-G-5,08_1x10_P5.08mm_Horizontal",139.860000,-91.777500,180.000000,top
"J3","MC-254-12-00-RA-DIP","IDC-Header_2x06_P2.54mm_Horizontal",63.697500,-121.350000,180.000000,top
"K1","AGQ210A12Z","Relay_2P2T_10x6mm_TE_IMxxG_Longlegs",79.000000,-116.800000,0.000000,top
"K2","AGQ210A12Z","Relay_2P2T_10x6mm_TE_IMxxG_Longlegs",99.000000,-117.000000,0.000000,top
"K3","AGQ210A12Z","Relay_2P2T_10x6mm_TE_IMxxG_Longlegs",118.000000,-117.000000,0.000000,top
"K4","AGQ210A12Z","Relay_2P2T_10x6mm_TE_IMxxG_Longlegs",135.000000,-117.000000,0.000000,top
"K5","AGQ210A12Z","Relay_2P2T_10x6mm_TE_IMxxG_Longlegs",150.000000,-117.000000,0.000000,top
"K6","AGQ210A12Z","Relay_2P2T_10x6mm_TE_IMxxG_Longlegs",162.000000,-117.000000,0.000000,top
"R1","1K1","R_0805_2012Metric",174.000000,-129.000000,-90.000000,top
"R2","1K1","R_0805_2012Metric",63.000000,-130.062500,-90.000000,top
